,Store ID,Total Visits,lat,lng,Store,Address,Place_ID,City,County,State,zipcode,GEOID,TRACT,StateID,CountyID,TractPopulation,family,non_family,2022 Total Population,2022 Population Density,2022 Median Household Income,2022 Median Net Worth,2022 Median Disposable Income,2022 Median Age,2022 Total Housing Units,2022 Median Home Value,2022 Owner Occupied HUs,2022 Renter Occupied HUs,2020 Median Year Structure Built: HUs (ACS 5-Yr),2022 Pop Age 25+: Bachelor's Degree,2022 Pop Age 25+: Grad/Professional Degree,2022 Apparel/Accessory Sales ($000) (SIC),2022 Furniture/Home Furnish Sales ($000) (SIC),2022 Home Improvement Sales ($000) (SIC),2022 Men`s Apparel,2022 Women`s Apparel,2022 Bought Clothing in Dept Store/6 Mo,2022 Bought Clothing in Discount Store/6 Mo,2022 Bought Clothing Online/6 Mo,2022 HH Purchased Low Ticket HH Furnishing/12 Mo,2022 Tapestry Adult Pop Base,2022 Discount Store Clothes Just as Good: 4-Agr Cmpl,2022 Total Daytime Population,2022 Daytime Pop Density,2022 Pop Age 15+: Married,2022 Pop Age 15+: Divorced,2022 Pop Age 15+: Never Married,2022 Black Population,2022 White Population,2022 Hispanic Population,2022 Total Crime Index,2022 Personal Crime Index,2022 Property Crime Index,ZIPcode,Income tax
0,817,471157,30.65283447,-87.90662753,T.J. Maxx," 6850 US Highway 90, Daphne, AL, United States",184037865,Daphne,Baldwin County,Alabama,36527,1003010704,10704,1,3,6106,5471,635,20890,914.7,81209,224690,62290,43.7,9140,236009,6494,1934,1989,4155,2355,19613,40393,110747,3812230,6999272,6447,2669,5582,1826,16903,4969,22175,971,9207,2230,5000,1742,17021,959,85,52,91,36527,541670
1,1166,458653,30.37584144,-87.67847689,T.J. Maxx," 2601 South McKenzie St., Foley, AL, United States",17015168,Foley,Baldwin County,Alabama,36535,1003011503,11503,1,3,8151,5937,2214,22655,681.7,44749,100129,38029,41.5,10610,226356,6474,2850,1997,2834,1359,43850,31920,122990,2765510,5093902,6540,2815,5448,2052,17883,5797,25262,760.2,8913,2819,4795,2181,16654,2873,168,99,179,36535,454080
2,1446,560818,30.37788523,-87.68632428,Marshalls," South Pine Street, Foley, Alabama, United States",101466848,Foley,Baldwin County,Alabama,36535,1003011503,11503,1,3,8151,5937,2214,27129,658,45430,101002,38621,41.6,12989,222614,7913,3360,1997,3483,1638,44188,31972,127647,3325475,6141699,7831,3360,6538,2484,21405,6866,28327,687.1,10589,3395,5861,2485,20242,3251,170,100,182,36535,454080
3,73,757204,34.82570805,-87.62562727,T.J. Maxx," 187 Cox Creek Pkwy, Florence, AL, United States",207765010,Florence,Lauderdale County,Alabama,35630,1077010800,10800,1,77,3412,2658,737,38342,735.9,42927,48337,36448,41.4,18952,181307,8907,7967,1974,4417,2747,34372,39819,88019,4789149,8796055,11301,5064,9806,3530,31731,9910,51236,983.3,14968,4641,10768,6359,27869,2019,154,106,162,35630,384844
4,27,710596,31.2460136,-85.424775,T.J. Maxx," 3500 Ross Clark Cir, Dothan, AL, United States",95180820,Dothan,Houston County,Alabama,36303,1069040400,40400,1,69,2450,2031,386,43277,1082.1,48809,57068,39969,39.9,20930,186149,10458,8138,1975,5032,2987,68297,158841,202917,6156469,11456554,12290,5028,9849,3965,33712,11059,58142,1453.8,15729,5052,11758,16743,22437,1887,179,218,172,36303,517778
5,242,676723,33.39335053,-86.80787109,T.J. Maxx," 1646 Montgomery Hwy, Hoover, AL, United States",68977201,Hoover,Jefferson County,Alabama,35216,1073014409,14409,1,73,2988,2379,498,77508,1995.4,79284,145665,64080,37.5,36398,297640,18861,14989,1982,18753,12826,157431,286739,162894,18353875,31960432,21907,9198,20872,7335,60787,16857,91142,2346.4,34678,6195,19327,14756,51155,4759,105,54,113,35216,1005510
6,662,672003,32.61772288,-85.40596121,T.J. Maxx," 2185 Tigertown Parkway, Opelika, AL, United States",283362658,Opelika,Lee County,Alabama,36801,1081041101,41101,1,81,2106,1181,625,37093,939.8,59447,107920,50493,36.5,16240,225000,10059,4844,1991,5514,4720,25910,74005,220759,6214130,11259414,10439,4272,8912,3386,28101,9061,47737,1209.5,14874,3556,9327,11901,19906,2874,188,173,191,36801,395568
7,465,595703,34.01266801,-85.98970988,T.J. Maxx," 316 E Meighan Blvd, Gadsden, AL, United States",130989526,Gadsden,Etowah County,Alabama,35903,1055001300,1300,1,55,2967,2089,863,29357,986.5,29888,19013,25702,41.4,14596,97268,6826,5368,1959,2076,1289,26877,25401,79358,2560675,4920670,8093,3374,6019,2601,23239,8079,39405,1324.1,8563,4134,9304,11265,14183,2496,315,290,319,35903,231345
8,1446,550241,34.27934442,-86.20673902,T.J. Maxx," 832 Christopher Circle, Albertville, Alabama, United States",97401171,Albertville,Marshall County,Alabama,35951,1095030801,30801,1,95,4864,4123,574,31063,500.8,50440,73829,40817,35.6,11710,135388,6905,4032,1980,2572,1024,28587,17482,88809,3077929,5781803,8008,3587,5735,2432,22559,8027,35735,576.1,12946,2724,6267,1276,19796,9858,125,53,137,35951,170065
9,1079,548695,32.45711144,-86.3968484,T.J. Maxx," 2748 Legends Pkwy, Prattville, AL, United States",81331481,Prattville,Elmore County,Alabama,36066,1051031300,31300,1,51,5166,4427,739,26171,1031.7,68354,110713,55836,38.1,11062,184457,6495,3933,1996,3945,2591,5772,16866,55124,3848810,7076309,7869,3236,6648,2359,20228,6319,24583,969.1,11284,2277,6639,5589,17501,1222,182,86,198,36066,453464
