ZIPcode,Population,state,income_density,family_density,Total_Visit_lowes_density,store_type
37013,90073,TN,18.43095045,0.811241993,0,0
37211,77960,TN,19.10905593,0.745805541,10.51341714,0
37042,73433,TN,16.95749867,0.882246401,0,0
34953,65295,FL,22.64674171,0.889639329,0,0
32210,61928,FL,20.07571696,0.820743444,0,0
33025,60994,FL,25.19631439,0.83229498,0,0
32825,58324,FL,21.08905425,0.84337494,0,0
33414,56497,FL,31.15859249,0.910083721,16.74510151,0
37167,54803,TN,23.50124993,0.860646315,0,0
33175,54443,FL,20.9087486,0.919144794,0,0
38401,53977,TN,22.65433425,0.8218871,19.00272338,0
37130,53507,TN,19.64954118,0.685742052,0,0
37027,53242,TN,64.99941775,0.919443297,0,0
37064,53212,TN,44.45950162,0.88568368,0,0
32837,52871,FL,21.03903841,0.875754194,0,0
33458,52303,FL,38.48693192,0.817371852,0,0
32225,52037,FL,28.2433653,0.85973442,0,0
32792,51343,FL,20.89706484,0.711119335,0,0
33467,51195,FL,26.04215255,0.856411759,0,0
32068,51177,FL,21.79148836,0.897883815,10.87584266,0
32771,49908,FL,27.90953354,0.831129278,0,0
33018,49157,FL,22.92926745,0.953109425,0,0
33029,48397,FL,31.77661839,0.969336942,0,0
36695,48227,AL,23.38459784,0.863396023,0,0
32174,48142,FL,22.43525404,0.81623115,20.21837481,0
33021,47832,FL,23.29072587,0.797938618,0,0
33196,46579,FL,24.77105563,0.934992164,0,0
33321,46181,FL,20.27162686,0.777744094,0,0
33324,45933,FL,30.14919557,0.78388087,0,0
37066,45625,TN,31.63031233,0.857117808,18.46038356,0
38111,44947,TN,16.84893319,0.722005918,0,0
33578,44473,FL,30.91017022,0.820992512,20.81453916,0
32712,44222,FL,25.79930804,0.894667812,0,0
32259,43649,FL,51.19688882,0.948566977,0,0
37087,43449,TN,25.88828281,0.835715436,0,0
33433,43127,FL,25.43568994,0.737751293,0,0
32835,42750,FL,21.76,0.822549708,0,0
34997,42507,FL,21.9595596,0.816477286,15.55496742,0
33134,42020,FL,35.48484055,0.798048548,0,0
34761,41895,FL,26.21761547,0.879556033,0,0
33032,40961,FL,23.03981836,0.925734235,0,0
34221,40753,FL,22.13098422,0.811792997,0,0
33624,39931,FL,24.13390599,0.839998998,0,0
33428,39872,FL,24.70104334,0.87891252,18.92052067,0
37920,39823,TN,17.72970394,0.730959496,0,0
38002,39450,TN,34.69406844,0.921140684,0,0
32824,39150,FL,27.37374202,0.911111111,0,0
32073,39016,FL,20.59239799,0.839450482,15.62417982,0
32137,38878,FL,22.09030814,0.865579505,0,0
33141,38244,FL,24.05030855,0.720243698,0,0
34698,38185,FL,23.27437475,0.730417703,0,0
33322,38112,FL,23.29195529,0.784372376,0,0
33139,38035,FL,42.46157487,0.517023794,0,0
32224,37976,FL,34.51832736,0.702232989,18.37773857,0
37620,37942,TN,16.51146487,0.801301987,17.22241843,0
37076,37749,TN,24.87965244,0.759437336,16.23823148,0
32955,37745,FL,26.37933501,0.841250497,23.33702477,0
33914,37610,FL,25.22720021,0.871470354,0,0
37209,37308,TN,31.10193524,0.650155463,0,0
32216,37190,FL,21.13320785,0.733261629,0,0
32812,36943,FL,21.48271662,0.794196465,0,0
32257,36938,FL,24.94268775,0.79828361,22.84322378,0
38018,36602,TN,24.78072236,0.83632042,0,0
33317,36532,FL,24.81520311,0.857741158,0,0
37363,36442,TN,31.17685637,0.902090994,0,0
32526,36367,FL,21.94860725,0.85935051,0,0
36301,36341,AL,15.92625409,0.837208662,28.36372142,0
36830,36303,AL,28.18331818,0.713907941,0,0
